X,Y,Z,dx,dy,dz,Au_gpt,Cu_pct,density,LITO
620175,7780035,402.5,10,10,5,0.061,0.046,2.516,OXIDE
620185,7780035,402.5,10,10,5,0.067,0.016,2.554,OXIDE
620195,7780035,402.5,10,10,5,0.050,0.009,2.542,OXIDE
620005,7780045,402.5,10,10,5,0.061,0.024,2.475,OXIDE
620015,7780045,402.5,10,10,5,0.142,0.011,2.569,OXIDE
620025,7780045,402.5,10,10,5,0.191,0.008,2.547,OXIDE
620035,7780045,402.5,10,10,5,-9999,0.035,2.608,OXIDE
620045,7780045,402.5,10,10,5,0.314,0.042,2.548,OXIDE
620055,7780045,402.5,10,10,5,0.378,0.047,2.626,OXIDE
620065,7780045,402.5,10,10,5,0.376,0.026,2.602,OXIDE
620075,7780045,402.5,10,10,5,0.254,0.034,2.565,OXIDE
620085,7780045,402.5,10,10,5,0.412,0.077,2.646,OXIDE
620095,7780045,402.5,10,10,5,0.469,0.023,2.685,OXIDE
620105,7780045,402.5,10,10,5,0.223,0.052,2.639,OXIDE
620115,7780045,402.5,10,10,5,0.423,0.043,2.491,OXIDE
620125,7780045,402.5,10,10,5,0.464,0.013,2.623,OXIDE
620135,7780045,402.5,10,10,5,0.733,0.039,2.632,OXIDE
620145,7780045,402.5,10,10,5,0.289,0.021,2.573,OXIDE
620155,7780045,402.5,10,10,5,0.235,0.021,2.589,OXIDE
620165,7780045,402.5,10,10,5,0.158,0.026,2.490,OXIDE
620175,7780045,402.5,10,10,5,0.263,0.011,2.677,OXIDE
620185,7780045,402.5,10,10,5,0.062,0.022,2.521,OXIDE
620195,7780045,402.5,10,10,5,0.143,0.018,2.582,OXIDE
620005,7780055,402.5,10,10,5,0.119,0.024,2.517,OXIDE
620015,7780055,402.5,10,10,5,0.142,0.014,2.514,OXIDE
620025,7780055,402.5,10,10,5,0.205,0.015,2.642,OXIDE
620035,7780055,402.5,10,10,5,0.224,0.043,2.612,OXIDE
620045,7780055,402.5,10,10,5,0.149,0.021,2.548,OXIDE
620055,7780055,402.5,10,10,5,0.164,0.125,2.657,OXIDE
620065,7780055,402.5,10,10,5,0.915,0.022,2.676,OXIDE
620075,7780055,402.5,10,10,5,0.587,0.029,2.509,OXIDE
620085,7780055,402.5,10,10,5,1.072,0.035,2.586,BIF
620095,7780055,402.5,10,10,5,0.553,0.041,2.604,OXIDE
620105,7780055,402.5,10,10,5,0.986,0.068,2.548,OXIDE
620115,7780055,402.5,10,10,5,0.497,0.064,2.579,OXIDE
620125,7780055,402.5,10,10,5,0.181,0.034,2.714,OXIDE
620135,7780055,402.5,10,10,5,0.447,0.023,2.512,OXIDE
620145,7780055,402.5,10,10,5,0.576,0.017,2.494,OXIDE
620155,7780055,402.5,10,10,5,0.335,0.022,2.702,OXIDE
620165,7780055,402.5,10,10,5,0.249,0.020,2.541,OXIDE
620175,7780055,402.5,10,10,5,0.128,0.024,2.505,OXIDE
620185,7780055,402.5,10,10,5,0.169,0.018,2.517,OXIDE
620195,7780055,402.5,10,10,5,0.065,0.014,2.554,OXIDE
620005,7780065,402.5,10,10,5,0.160,0.011,2.530,OXIDE
620015,7780065,402.5,10,10,5,0.193,0.026,2.652,OXIDE
620025,7780065,402.5,10,10,5,0.234,0.050,2.546,OXIDE
620035,7780065,402.5,10,10,5,0.271,0.052,2.582,OXIDE
620045,7780065,402.5,10,10,5,0.488,0.025,2.539,OXIDE
620055,7780065,402.5,10,10,5,0.729,0.038,2.632,OXIDE
620065,7780065,402.5,10,10,5,1.110,0.043,2.654,BIF
620075,7780065,402.5,10,10,5,1.363,0.092,2.637,BIF
620085,7780065,402.5,10,10,5,0.688,0.057,2.670,OXIDE
620095,7780065,402.5,10,10,5,0.889,0.034,2.675,OXIDE
620105,7780065,402.5,10,10,5,1.034,0.119,2.618,BIF
620115,7780065,402.5,10,10,5,0.957,0.063,2.561,OXIDE
620125,7780065,402.5,10,10,5,0.284,0.036,2.667,OXIDE
620135,7780065,402.5,10,10,5,0.885,0.121,2.575,OXIDE
620145,7780065,402.5,10,10,5,0.429,0.032,2.561,OXIDE
620155,7780065,402.5,10,10,5,0.385,0.106,2.603,OXIDE
620165,7780065,402.5,10,10,5,0.189,0.049,2.527,OXIDE
620175,7780065,402.5,10,10,5,0.259,0.021,2.566,OXIDE
620185,7780065,402.5,10,10,5,0.104,0.015,2.502,OXIDE
620195,7780065,402.5,10,10,5,0.080,0.010,2.506,OXIDE
620005,7780075,402.5,10,10,5,0.134,0.024,2.570,OXIDE
620015,7780075,402.5,10,10,5,0.159,0.024,2.630,OXIDE
620025,7780075,402.5,10,10,5,0.548,0.022,2.626,OXIDE
620035,7780075,402.5,10,10,5,0.319,0.023,2.536,OXIDE
620045,7780075,402.5,10,10,5,0.758,0.068,2.560,OXIDE
620055,7780075,402.5,10,10,5,1.246,0.051,2.598,BIF
620065,7780075,402.5,10,10,5,0.717,0.058,2.672,OXIDE
620075,7780075,402.5,10,10,5,0.860,0.124,2.622,OXIDE
620085,7780075,402.5,10,10,5,0.856,0.066,2.652,OXIDE
620095,7780075,402.5,10,10,5,0.876,0.070,2.738,OXIDE
620105,7780075,402.5,10,10,5,0.974,0.074,2.630,OXIDE
620115,7780075,402.5,10,10,5,1.722,0.071,2.602,BIF
620125,7780075,402.5,10,10,5,0.470,0.209,2.614,OXIDE
620135,7780075,402.5,10,10,5,0.746,0.099,2.642,OXIDE
620145,7780075,402.5,10,10,5,1.158,0.084,2.503,BIF
620155,7780075,402.5,10,10,5,0.220,0.039,2.575,OXIDE
620165,7780075,402.5,10,10,5,0.197,0.054,2.598,OXIDE
620175,7780075,402.5,10,10,5,0.125,0.035,2.581,OXIDE
620185,7780075,402.5,10,10,5,0.145,0.049,2.552,OXIDE
620195,7780075,402.5,10,10,5,0.093,0.021,2.542,OXIDE
620005,7780085,402.5,10,10,5,0.223,0.029,2.514,OXIDE
620015,7780085,402.5,10,10,5,0.091,0.023,2.542,OXIDE
620025,7780085,402.5,10,10,5,0.667,0.037,2.614,OXIDE
620035,7780085,402.5,10,10,5,0.927,0.044,2.658,OXIDE
620045,7780085,402.5,10,10,5,0.845,0.080,2.522,OXIDE
620055,7780085,402.5,10,10,5,0.711,0.090,2.621,OXIDE
620065,7780085,402.5,10,10,5,0.952,0.249,2.633,OXIDE
620075,7780085,402.5,10,10,5,0.620,0.081,2.674,OXIDE
620085,7780085,402.5,10,10,5,1.309,0.152,2.611,BIF
620095,7780085,402.5,10,10,5,0.436,0.140,2.645,OXIDE
620105,7780085,402.5,10,10,5,0.825,0.074,2.691,OXIDE
620115,7780085,402.5,10,10,5,1.513,0.130,2.629,BIF
620125,7780085,402.5,10,10,5,2.332,0.174,2.665,BIF
620135,7780085,402.5,10,10,5,0.496,0.048,2.614,OXIDE
620145,7780085,402.5,10,10,5,1.104,0.116,2.520,BIF
620155,7780085,402.5,10,10,5,0.392,0.036,2.667,OXIDE
620165,7780085,402.5,10,10,5,0.378,0.076,2.508,OXIDE
620175,7780085,402.5,10,10,5,0.306,0.038,2.572,OXIDE
620185,7780085,402.5,10,10,5,0.221,0.022,2.601,OXIDE
620195,7780085,402.5,10,10,5,0.236,0.018,2.574,OXIDE
620005,7780095,402.5,10,10,5,0.271,0.012,2.569,OXIDE
620015,7780095,402.5,10,10,5,0.420,0.031,2.667,OXIDE
620025,7780095,402.5,10,10,5,0.517,0.035,2.634,OXIDE
620035,7780095,402.5,10,10,5,0.429,0.069,2.543,OXIDE
620045,7780095,402.5,10,10,5,1.200,0.073,2.592,BIF
620055,7780095,402.5,10,10,5,0.357,0.065,2.724,OXIDE
620065,7780095,402.5,10,10,5,1.983,0.263,2.640,BIF
620075,7780095,402.5,10,10,5,2.667,0.116,2.661,BIF
620085,7780095,402.5,10,10,5,2.284,0.148,2.682,BIF
620095,7780095,402.5,10,10,5,1.698,0.116,2.630,BIF
620105,7780095,402.5,10,10,5,2.197,0.389,2.649,BIF
620115,7780095,402.5,10,10,5,0.942,0.103,2.728,OXIDE
620125,7780095,402.5,10,10,5,2.179,0.158,2.672,BIF
620135,7780095,402.5,10,10,5,1.663,0.125,2.722,BIF
620145,7780095,402.5,10,10,5,0.828,0.065,2.593,OXIDE
620155,7780095,402.5,10,10,5,0.322,0.047,2.575,OXIDE
620165,7780095,402.5,10,10,5,0.556,0.031,2.526,OXIDE
620175,7780095,402.5,10,10,5,0.234,0.036,2.560,OXIDE
620185,7780095,402.5,10,10,5,0.181,0.023,2.667,OXIDE
620195,7780095,402.5,10,10,5,0.086,0.012,2.517,OXIDE
620005,7780105,402.5,10,10,5,0.194,0.039,2.504,OXIDE
620015,7780105,402.5,10,10,5,-9999,0.012,2.557,OXIDE
620025,7780105,402.5,10,10,5,0.234,0.033,2.571,OXIDE
620035,7780105,402.5,10,10,5,0.484,0.083,2.542,OXIDE
620045,7780105,402.5,10,10,5,0.901,0.067,2.730,OXIDE
620055,7780105,402.5,10,10,5,0.492,0.089,2.604,OXIDE
620065,7780105,402.5,10,10,5,2.640,0.067,2.541,BIF
620075,7780105,402.5,10,10,5,0.731,0.249,2.767,OXIDE
620085,7780105,402.5,10,10,5,1.401,0.203,2.654,BIF
620095,7780105,402.5,10,10,5,1.100,0.072,2.777,BIF
620105,7780105,402.5,10,10,5,1.588,0.163,2.719,BIF
620115,7780105,402.5,10,10,5,1.795,0.498,2.789,BIF
620125,7780105,402.5,10,10,5,1.681,0.079,2.649,BIF
620135,7780105,402.5,10,10,5,1.794,0.071,2.635,BIF
620145,7780105,402.5,10,10,5,1.121,0.091,2.595,BIF
620155,7780105,402.5,10,10,5,1.282,0.029,2.536,BIF
620165,7780105,402.5,10,10,5,0.907,0.025,2.595,OXIDE
620175,7780105,402.5,10,10,5,0.097,0.056,2.566,OXIDE
620185,7780105,402.5,10,10,5,0.057,0.102,2.554,OXIDE
620195,7780105,402.5,10,10,5,0.072,0.014,2.515,OXIDE
620005,7780115,402.5,10,10,5,0.231,0.015,2.558,OXIDE
620015,7780115,402.5,10,10,5,0.249,0.024,2.651,OXIDE
620025,7780115,402.5,10,10,5,0.516,0.078,2.565,OXIDE
620035,7780115,402.5,10,10,5,0.654,0.081,2.620,OXIDE
620045,7780115,402.5,10,10,5,0.360,0.102,2.560,OXIDE
620055,7780115,402.5,10,10,5,2.712,0.198,2.732,BIF
620065,7780115,402.5,10,10,5,1.345,0.142,2.637,BIF
620075,7780115,402.5,10,10,5,1.068,0.070,2.654,BIF
620085,7780115,402.5,10,10,5,1.308,0.196,2.672,BIF
620095,7780115,402.5,10,10,5,1.818,0.198,2.605,BIF
620105,7780115,402.5,10,10,5,1.008,0.249,2.674,BIF
620115,7780115,402.5,10,10,5,1.166,0.303,2.632,BIF
620125,7780115,402.5,10,10,5,1.379,0.068,2.661,BIF
620135,7780115,402.5,10,10,5,1.565,0.256,2.626,BIF
620145,7780115,402.5,10,10,5,1.653,0.190,2.646,BIF
620155,7780115,402.5,10,10,5,0.530,0.045,2.645,OXIDE
620165,7780115,402.5,10,10,5,0.872,0.027,2.619,OXIDE
620175,7780115,402.5,10,10,5,0.424,0.045,2.589,OXIDE
620185,7780115,402.5,10,10,5,0.343,0.013,2.590,OXIDE
620195,7780115,402.5,10,10,5,0.114,0.017,2.649,OXIDE
620005,7780125,402.5,10,10,5,0.129,0.027,2.575,OXIDE
620015,7780125,402.5,10,10,5,0.365,0.017,2.667,OXIDE
620025,7780125,402.5,10,10,5,1.019,0.056,2.565,BIF
620035,7780125,402.5,10,10,5,1.841,0.101,2.599,BIF
620045,7780125,402.5,10,10,5,1.648,0.063,2.662,BIF
620055,7780125,402.5,10,10,5,1.680,0.094,2.606,BIF
620065,7780125,402.5,10,10,5,2.054,0.104,2.679,BIF
620075,7780125,402.5,10,10,5,2.273,0.137,2.670,BIF
620085,7780125,402.5,10,10,5,1.061,0.332,2.709,BIF
620095,7780125,402.5,10,10,5,2.145,0.151,2.681,BIF
620105,7780125,402.5,10,10,5,1.432,0.162,2.651,BIF
620115,7780125,402.5,10,10,5,2.237,0.131,2.692,BIF
620125,7780125,402.5,10,10,5,1.865,0.250,2.700,BIF
620135,7780125,402.5,10,10,5,1.404,0.085,2.709,BIF
620145,7780125,402.5,10,10,5,0.333,0.032,2.592,OXIDE
620155,7780125,402.5,10,10,5,1.107,0.082,2.663,BIF
620165,7780125,402.5,10,10,5,0.273,0.028,2.515,OXIDE
620175,7780125,402.5,10,10,5,0.396,0.028,2.502,OXIDE
620185,7780125,402.5,10,10,5,0.235,0.045,2.421,OXIDE
620195,7780125,402.5,10,10,5,0.152,0.009,2.529,OXIDE
620005,7780135,402.5,10,10,5,0.308,0.065,2.522,OXIDE
620015,7780135,402.5,10,10,5,0.240,0.026,2.530,OXIDE
620025,7780135,402.5,10,10,5,0.449,0.046,2.570,OXIDE
620035,7780135,402.5,10,10,5,0.610,0.073,2.665,OXIDE
620045,7780135,402.5,10,10,5,1.140,0.048,2.605,BIF
620055,7780135,402.5,10,10,5,1.022,0.092,2.626,BIF
620065,7780135,402.5,10,10,5,2.948,0.134,2.721,BIF
620075,7780135,402.5,10,10,5,1.331,0.360,2.743,BIF
620085,7780135,402.5,10,10,5,1.882,0.153,2.704,BIF
620095,7780135,402.5,10,10,5,1.561,0.129,2.757,BIF
620105,7780135,402.5,10,10,5,-9999,0.139,2.618,OXIDE
620115,7780135,402.5,10,10,5,1.090,0.266,2.624,BIF
620125,7780135,402.5,10,10,5,2.784,0.081,2.588,BIF
620135,7780135,402.5,10,10,5,1.307,0.040,2.607,BIF
620145,7780135,402.5,10,10,5,0.680,0.032,2.587,OXIDE
620155,7780135,402.5,10,10,5,0.542,0.052,2.564,OXIDE
620165,7780135,402.5,10,10,5,0.328,0.035,2.608,OXIDE
620175,7780135,402.5,10,10,5,0.432,0.035,2.561,OXIDE
620185,7780135,402.5,10,10,5,0.115,0.026,2.532,OXIDE
620195,7780135,402.5,10,10,5,0.161,0.035,2.600,OXIDE
620005,7780145,402.5,10,10,5,0.360,0.061,2.591,OXIDE
620015,7780145,402.5,10,10,5,0.364,0.029,2.582,OXIDE
620025,7780145,402.5,10,10,5,0.603,0.039,2.596,OXIDE
620035,7780145,402.5,10,10,5,0.517,0.037,2.654,OXIDE
620045,7780145,402.5,10,10,5,0.834,0.027,2.508,OXIDE
620055,7780145,402.5,10,10,5,0.389,0.151,2.592,OXIDE
620065,7780145,402.5,10,10,5,1.505,0.073,2.697,BIF
620075,7780145,402.5,10,10,5,1.508,0.195,2.626,BIF
620085,7780145,402.5,10,10,5,1.978,0.108,2.686,BIF
620095,7780145,402.5,10,10,5,0.928,0.138,2.656,OXIDE
620105,7780145,402.5,10,10,5,2.879,0.096,2.636,BIF
620115,7780145,402.5,10,10,5,0.723,0.148,2.646,OXIDE
620125,7780145,402.5,10,10,5,0.757,0.168,2.695,OXIDE
620135,7780145,402.5,10,10,5,1.235,0.229,2.584,BIF
620145,7780145,402.5,10,10,5,0.585,0.091,2.609,OXIDE
620155,7780145,402.5,10,10,5,0.412,0.080,2.666,OXIDE
620165,7780145,402.5,10,10,5,0.470,0.017,2.576,OXIDE
620175,7780145,402.5,10,10,5,0.552,0.026,2.475,OXIDE
620185,7780145,402.5,10,10,5,0.247,0.028,2.580,OXIDE
620195,7780145,402.5,10,10,5,0.117,0.016,2.569,OXIDE
620005,7780155,402.5,10,10,5,0.118,0.014,2.692,OXIDE
620015,7780155,402.5,10,10,5,0.275,0.067,2.565,OXIDE
620025,7780155,402.5,10,10,5,0.173,0.029,2.656,OXIDE
620035,7780155,402.5,10,10,5,0.343,0.035,2.618,OXIDE
620045,7780155,402.5,10,10,5,0.476,0.050,2.633,OXIDE
620055,7780155,402.5,10,10,5,0.902,0.121,2.660,OXIDE
620065,7780155,402.5,10,10,5,1.012,0.088,2.626,BIF
620075,7780155,402.5,10,10,5,1.815,0.264,2.687,BIF
620085,7780155,402.5,10,10,5,2.439,0.087,2.588,BIF
620095,7780155,402.5,10,10,5,1.428,0.052,2.599,BIF
620105,7780155,402.5,10,10,5,0.803,0.067,2.630,OXIDE
620115,7780155,402.5,10,10,5,1.801,0.088,2.603,BIF
620125,7780155,402.5,10,10,5,0.518,0.108,2.617,OXIDE
620135,7780155,402.5,10,10,5,0.305,0.181,2.567,OXIDE
620145,7780155,402.5,10,10,5,1.110,0.024,2.587,BIF
620155,7780155,402.5,10,10,5,0.364,0.067,2.531,OXIDE
620165,7780155,402.5,10,10,5,0.423,0.059,2.628,OXIDE
620175,7780155,402.5,10,10,5,0.061,0.023,2.536,OXIDE
620185,7780155,402.5,10,10,5,0.132,0.024,2.552,OXIDE
620195,7780155,402.5,10,10,5,0.167,0.019,2.668,OXIDE
620005,7780165,402.5,10,10,5,0.175,0.021,2.616,OXIDE
620015,7780165,402.5,10,10,5,0.335,0.024,2.593,OXIDE
620025,7780165,402.5,10,10,5,0.155,0.053,2.539,OXIDE
620035,7780165,402.5,10,10,5,0.216,0.068,2.605,OXIDE
620045,7780165,402.5,10,10,5,0.716,0.035,2.713,OXIDE
620055,7780165,402.5,10,10,5,0.833,0.059,2.588,OXIDE
620065,7780165,402.5,10,10,5,1.093,0.074,2.554,BIF
620075,7780165,402.5,10,10,5,0.778,0.055,2.614,OXIDE
620085,7780165,402.5,10,10,5,0.352,0.060,2.656,OXIDE
620095,7780165,402.5,10,10,5,0.596,0.044,2.649,OXIDE
620105,7780165,402.5,10,10,5,1.573,0.127,2.553,BIF
620115,7780165,402.5,10,10,5,1.106,0.055,2.551,BIF
620125,7780165,402.5,10,10,5,0.277,0.060,2.606,OXIDE
620135,7780165,402.5,10,10,5,0.870,0.065,2.589,OXIDE
620145,7780165,402.5,10,10,5,0.316,0.045,2.608,OXIDE
620155,7780165,402.5,10,10,5,0.665,0.019,2.619,OXIDE
620165,7780165,402.5,10,10,5,0.163,0.024,2.598,OXIDE
620175,7780165,402.5,10,10,5,0.129,0.025,2.640,OXIDE
620185,7780165,402.5,10,10,5,0.159,0.034,2.563,OXIDE
620195,7780165,402.5,10,10,5,0.073,0.011,2.605,OXIDE
620005,7780175,402.5,10,10,5,0.151,0.018,2.604,OXIDE
620015,7780175,402.5,10,10,5,0.153,0.044,2.580,OXIDE
620025,7780175,402.5,10,10,5,0.251,0.012,2.530,OXIDE
620035,7780175,402.5,10,10,5,0.351,0.035,2.572,OXIDE
620045,7780175,402.5,10,10,5,0.501,0.036,2.505,OXIDE
620055,7780175,402.5,10,10,5,0.175,0.028,2.668,OXIDE
620065,7780175,402.5,10,10,5,0.707,0.062,2.517,OXIDE
620075,7780175,402.5,10,10,5,0.747,0.129,2.560,OXIDE
620085,7780175,402.5,10,10,5,1.062,0.049,2.594,BIF
620095,7780175,402.5,10,10,5,1.194,0.109,2.616,BIF
620105,7780175,402.5,10,10,5,0.504,0.034,2.592,OXIDE
620115,7780175,402.5,10,10,5,0.552,0.043,2.611,OXIDE
620125,7780175,402.5,10,10,5,0.519,0.071,2.600,OXIDE
620135,7780175,402.5,10,10,5,0.592,0.033,2.602,OXIDE
620145,7780175,402.5,10,10,5,1.081,0.040,2.569,BIF
620155,7780175,402.5,10,10,5,0.128,0.021,2.592,OXIDE
620165,7780175,402.5,10,10,5,0.170,0.092,2.533,OXIDE
620175,7780175,402.5,10,10,5,0.195,0.018,2.570,OXIDE
620185,7780175,402.5,10,10,5,0.082,0.007,2.589,OXIDE
620195,7780175,402.5,10,10,5,0.051,0.039,2.563,OXIDE
620005,7780185,402.5,10,10,5,0.054,0.022,2.541,OXIDE
620015,7780185,402.5,10,10,5,0.145,0.009,2.523,OXIDE
620025,7780185,402.5,10,10,5,-9999,0.036,2.625,OXIDE
620035,7780185,402.5,10,10,5,0.247,0.018,2.633,OXIDE
620045,7780185,402.5,10,10,5,0.485,0.020,2.585,OXIDE
620055,7780185,402.5,10,10,5,0.233,0.056,2.682,OXIDE
620065,7780185,402.5,10,10,5,0.562,0.025,2.509,OXIDE
620075,7780185,402.5,10,10,5,0.285,0.058,2.669,OXIDE
620085,7780185,402.5,10,10,5,0.521,0.029,2.584,OXIDE
620095,7780185,402.5,10,10,5,0.351,0.025,2.599,OXIDE
620105,7780185,402.5,10,10,5,0.950,0.060,2.540,OXIDE
620115,7780185,402.5,10,10,5,0.477,0.084,2.473,OXIDE
620125,7780185,402.5,10,10,5,0.450,0.024,2.541,OXIDE
620135,7780185,402.5,10,10,5,0.411,0.020,2.576,OXIDE
620145,7780185,402.5,10,10,5,0.160,0.039,2.580,OXIDE
620155,7780185,402.5,10,10,5,0.174,0.028,2.573,OXIDE
620165,7780185,402.5,10,10,5,0.385,0.013,2.600,OXIDE
620175,7780185,402.5,10,10,5,0.102,0.017,2.613,OXIDE
620185,7780185,402.5,10,10,5,0.085,0.049,2.549,OXIDE
620195,7780185,402.5,10,10,5,0.055,0.028,2.500,OXIDE
620005,7780195,402.5,10,10,5,0.097,0.013,2.628,OXIDE
620015,7780195,402.5,10,10,5,0.183,0.009,2.578,OXIDE
620025,7780195,402.5,10,10,5,0.099,0.014,2.534,OXIDE
620035,7780195,402.5,10,10,5,0.037,0.013,2.508,OXIDE
620045,7780195,402.5,10,10,5,0.122,0.021,2.532,OXIDE
620055,7780195,402.5,10,10,5,0.217,0.016,2.513,OXIDE
620065,7780195,402.5,10,10,5,0.235,0.026,2.528,OXIDE
620075,7780195,402.5,10,10,5,0.312,0.036,2.505,OXIDE
620085,7780195,402.5,10,10,5,0.150,0.044,2.593,OXIDE
620095,7780195,402.5,10,10,5,0.439,0.033,2.567,OXIDE
620105,7780195,402.5,10,10,5,0.368,0.033,2.630,OXIDE
620115,7780195,402.5,10,10,5,0.285,0.015,2.609,OXIDE
620125,7780195,402.5,10,10,5,0.311,0.036,2.558,OXIDE
620135,7780195,402.5,10,10,5,0.663,0.027,2.573,OXIDE
620145,7780195,402.5,10,10,5,0.208,0.035,2.574,OXIDE
620155,7780195,402.5,10,10,5,0.193,0.019,2.620,OXIDE
620165,7780195,402.5,10,10,5,0.201,0.023,2.610,OXIDE
620175,7780195,402.5,10,10,5,-9999,0.044,2.537,OXIDE
620185,7780195,402.5,10,10,5,0.061,0.015,2.605,OXIDE
620195,7780195,402.5,10,10,5,0.041,0.009,2.512,OXIDE
620005,7780005,407.5,10,10,5,0.029,0.038,2.483,OXIDE
620015,7780005,407.5,10,10,5,-9999,0.030,2.556,OXIDE
